animal_crop,category,created_at,id,language,location,question_text,sub_topic,topic,question_id
avocado,Crop,2023-11-22 09:07:10,3976,English,Kamuli,which pests commonly destroy avocado?,,Pests,631af2fb-5547-4432-93b6-09ae6225a0c1
tomatoes,Crop,2023-11-22 10:40:00,4278,English,Wakiso,How many types of tomatoes do we have?,,Varieties,2ebb8219-e8f6-4bf8-b072-2518c52ede78
tomatoes,Crop,2023-11-22 10:40:00,4242,English,mayuge district,How can I grow my tomatoes season after season even when it is shining in mayuge district,,Seeds,9ea58c47-bdba-4aba-b4af-431ae5afa597
tomatoes,Crop,2023-11-22 10:40:00,4279,English,Wakiso,what is necessary in making a nursery bed for tomatoes ,,Nature of soil,df4190c8-5ca1-4a3c-9e7b-f538ef87c319
Goats,Animal,2023-11-22 10:49:53,4450,English,NGORA,What is the proper stage of vaccinating kid s on a goat farm,,"Livestock selection and breeding - Animal characteristics and traits, Diseases",58599320-9cf7-4314-a677-8eee644e3267
Goats,Animal,2023-11-22 10:49:53,4527,English,Wakiso,what are the products of a goat.,,Products,e1f6fa5e-1779-4caf-8697-be6461ca62e4
Cattle,Animal,2023-11-15 07:16:30,3840,English,Jinja city,where can I sell my hides from My cattle in Uganda,,"Livestock selection and breeding - Animal characteristics and traits, Prices",7b767a85-6468-400b-ac6b-398ae4cd1407
Tomatoes,Crop,2023-11-22 10:49:53,4406,English,NGORA,which is the best chemical for spraying white flies on a tomato plant?,,Pests,3c185bb6-bcf2-43ec-9fe9-ce65a749c445
cattle,Animal,2023-11-22 09:32:01,4194,English,Kabale,where in kabale can one get good cows of a good breed for farm improvement ?,,Breeds,0bfaa79a-1f60-4289-87f0-aa512dfacf01
cattle,Animal,2023-11-22 09:07:10,3960,English,Kabale,What are the signs of a cow on heat?,,"Livestock selection and breeding - Animal characteristics and traits, Species",4fd31cba-c923-493e-9f88-ef74497d3a6b
cattle,Animal,2023-11-22 09:32:01,4159,English,Iganga,Is cow dung a good natural fertilizer ?,,Fertilizers,63685158-d3c0-41dd-845b-fcc61bd04fee
Cattle,Animal,2023-11-15 07:16:30,3845,English,Ngora,Can dehorning affect the growth of a bull?,,"Livestock selection and breeding - Animal characteristics and traits, Breeds",f1df0a3f-ccba-4a74-9ffe-bf86f8762abd
Goats,Animal,2023-11-22 10:49:53,4475,English,NGORA,what is agribusiness and why is it important,,"Livestock selection and breeding - Animal characteristics and traits, Veterinary care",d29c94fa-7d76-4bfc-8c69-2e70a365cbcc
cattle,Animal,2023-11-22 10:40:00,4358,English,kumi,why is important to carry such a activity in animal farming,,Veterinary care,8f4980ac-4654-4337-bbf7-c86688316d3f
cattle,Animal,2023-11-22 09:07:10,3938,English,Ngora,Why is it that every cattle farm at the gate you are made to deep your legs in water before you enter the crawl/ paddock?,,Vaccination,6d8125d1-b16b-47c0-ae18-1a19e8a21eeb
Tomatoes,Crop,2023-11-22 10:40:00,4294,English,Kamuli,How best can a farmer transport harvested tomatoes safely to the market?,,Transport,3f16af37-2f57-4438-92bc-67f20728d903
Tomatoes,Crop,2023-11-22 10:49:53,4403,English,NGORA,what signs does a farmer see on a tomato plant affected by Blight disease?,,Diseases,3531ecb1-9af9-4c42-beac-6d33a7220ac2
Goats,Animal,2023-11-22 10:49:53,4529,English,Wakiso,Goats are dewormed as other animals.When do we deworm them?,,Deworming,41e84958-6066-4906-b56a-b53dd9f77d5c
Goats,Animal,2023-11-22 10:40:00,4276,Luganda,Kamuli,Dagalaki eryabiwuka erisinga okukola obulungi ku mbuzi,,Deworming,2dc445e2-9b44-48e3-b527-48d160f5ac1c
cattle,Animal,2023-11-22 09:32:01,4203,Luganda,kamuli,Lwaki enkwa (ticks) zisinga kutawanya nte nzirugavu?,,Veterinary care,6e8096d5-bf8a-4d31-ba8c-32e09a1d3658
cattle,Animal,2023-11-22 10:49:53,4476,English,Uganda,Is it ideal for a farmer to keep the breeding buck separately from doe and kids?,,Products,1002a7f6-b428-4214-a860-ea43240f248a
Goats,Animal,2023-11-22 10:49:53,4471,English,NGORA,what signs does a farmer realize on his chicken when they infected by fowl pox disease?,,Feeds/ Food,bf91829f-8ce3-4026-a853-0025910f8eb7
Cattle,Animal,2023-11-15 07:16:30,3747,English,Ngora,Is it ideal for a farmer to apply salt on his hides and skin during drying?,,"Livestock selection and breeding - Animal characteristics and traits, Products",fefea8f1-2ec3-4582-a363-3cc20591f111
coffee,Crop,2023-11-15 07:16:30,3927,English,Kayunga,what color is the wood beneath the bark of the coffee stem if it has been attacked by coffee wilt disease?,,"Integrated Pest Management (IPM) - IPM in Practice, Diseases",a87fb063-8986-4326-8a3d-f39fef76cf78
